"GDP_CAPITA","BALANCE","MANUFACTURE_IMPORTS","SERVICE_EMPLOYMENT","FOREIGN_INVESTMENT","FUEL_EXPORTS","GROSS_SAVINGS","INFLATION","EXPORT_TELECOM","LIFE_EXPECTANCY","ELECTRICITY_ACCESS","FERTILITY_RATE","HUMAN_CAPITAL_INDEX","FEMALE_LABOR_FORCE","POPULATION_65_ABOVE","EDUCATION_EXPENDITURE","URBAN_POPULATION","CO2_EMISSIONS","ARMED_FORCE","SURFACE_AREA","EXPORTS_GOOD_SERVICES"
2082.3921973316,5745536582.88077,45.2205947815806,38.4099998474121,0.661572001890286,10.2131805125,23.1006726994151,0.626149149168811,65.5161335201523,64.486,96.6161346435547,4.473,0.393489241600037,21.7414856541674,2.58492693988024,3.19979000091553,25.495,0.351865760083906,2.72297025466806,652860,43.9045976477212
13498.138167156,3381320661.71017,47.511441094006,42.9700012207031,7.94635135089316,1.66266621721824,16.5472333763493,2.02805963071136,29.8507575844567,78.458,100,1.617,0.628666281700134,42.7202643486612,13.7447359109736,4.51857595823028,60.319,0.437493132803186,0.643149316403738,28750,31.5719272134517
11908.5376066966,7160573448.0952,65.7905058756028,59.2200012207031,0.838207480046885,15.1890637439616,40.205962289443,4.26999020467078,62.9165796470092,76.693,99.6978378295898,3.023,0.531993925571442,19.849983881661,6.36249654497986,5.8663501739502,72.629,0.863726874411346,2.57082438714831,2381741,25.8611508241538
22612.7043309515,1027253512.80567,65.7905058756028,55.3479871378317,-5.73043646655,15.1890637439616,23.1006726994151,4.36929671750921,33.2652589512432,72.5507991213452,84.0450062636173,2.6488850931677,0.57220199957807,41.9158029477011,9.1360071551127,4.51857595823028,87.153,0.45258890990068,1.21273331845027,200,68.2316118935837
22612.7043309515,1027253512.80567,68.2945524421844,55.3479871378317,-5.73043646655,0.0136386652598846,23.1006726994151,4.36929671750921,33.2652589512432,72.5507991213452,100,2.6488850931677,0.57220199957807,41.9158029477011,9.1360071551127,3.2467200756073,88.062,0.155958299167722,1.21273331845027,470,43.9045976477212
7148.93325257707,-24959919442.242,59.2674911195402,42.1100006103516,-8.29905182490874,92.4178057714038,25.0927109172038,19.6286077209765,9.39425908702297,60.782,45.2900009155273,5.519,0.360190957784653,49.6065857510519,2.21637364776329,2.04470133781433,65.514,0.246830051534263,0.924175142089953,1246700,40.8362898299819
23290.6757386443,743227678.190102,78.7079066895287,77.9899978637695,2.232532212602,4.11937445415808,11.3939154816929,4.36929671750921,48.8354460299413,76.52,99.9895782470703,2.261,0.61736673116684,42.9825095568517,11.1177888760774,4.87773990631104,91.87,0.304081163878862,0.527253835984663,2780400,14.4366857499034
13018.8742919449,1724439946.46255,65.058561772382,51.4300003051758,2.14180606651725,3.7309961281298,15.3261013449164,2.52023382001631,25.1149007141753,74.945,99.9000015258789,1.755,0.58172595500946,44.2337134145411,11.2538176570131,2.25587010383606,63.149,0.464099631007672,3.91775602495482,29740,39.3928940286073
50169.1872936523,-20835551519.661,72.7881095963825,77.5,4.29284940490712,23.0697200710082,21.7391671977378,1.91140094445692,20.0881287725317,82.7487804878049,100,1.74,0.780833959579468,46.5731198116897,15.6564752275591,5.12344980239868,86.012,0.264262329399146,0.438503241263502,7741220,21.8697129487245
56960.0914258929,-1401668649.59702,76.2596048797102,70.870002746582,-6.28465704339647,2.09499489553737,26.7986748524401,1.99837981429546,41.6039287578292,81.6926829268293,100,1.47,0.768673121929169,46.6599794997615,19.0015664595899,5.22452020645142,58.297,0.154456826797484,0.491429343213823,83879,55.440654375526
14549.0618972126,-9841328000,67.9030417791215,49.0200004577637,2.97794611197123,91.7363919755309,32.1495600059931,2.26854690374005,16.6947249498029,72.864,100,1.73,0.62931215763092,48.7585855236796,6.19518275071493,2.45543003082275,55.68,0.612230826299107,1.60966292735127,86600,54.0922938620586
47485.6175980067,1066489361.7021,48.9156204341554,63.6300010681152,0.29408549051138,53.3203933261076,28.8244586821846,2.08766938046983,19.22024623803,77.163,100,1.987,0.663898766040802,20.4337220599333,2.42633387832394,2.36660718917847,89.287,0.901432617069137,2.10300104821459,780,79.2525219237919
5321.94022451796,17284133891.5706,65.7905058756028,39.7700004577637,0.753510982649492,15.1890637439616,35.4587859066099,5.5436213948647,62.3139032182722,72.32,91.8000030517578,2.036,0.458553284406662,30.7867578204562,5.15839063962068,4.51857595823028,36.632,0.342259415347924,0.333537843471079,147570,12.6747879443391
19428.0074589115,2502800000,54.1204078551364,58.060001373291,2.3762618776861,25.1356889584766,29.1584648752409,4.87230220550689,44.8643498775066,74.1756097560976,100,1.448,0.57220199957807,49.0403112903172,14.8451481743098,5.38111019134521,78.595,1.01909505960753,3.06799413615179,207600,70.4550452625374
52535.23221854,2106083467.83899,69.7656435210899,77.9400024414063,-7.65649926987642,8.57049718783793,24.4908638145495,2.05316499865181,62.2020111186878,81.5951219512195,100,1.62,0.762759745121002,46.6071764423229,18.7887437383395,6.38137006759644,98.001,0.193081624554394,0.613294591286856,30530,83.0246231349098
3236.29206474841,555598933.6757,33.194037848489,42.6399993896484,1.36073583540777,0.00438672014701453,19.6366054882063,0.644803622440778,2.09787397524047,61.47,39.2469177246094,4.836,0.396950334310532,49.5236297485359,3.25360529746338,2.93161988258362,47.312,0.596134746024899,0.25894282838284,114760,27.2742306189085
