Sexe;Opinion;PCS;Activite
Homme;Gauche;3;Actif_o
Femme;Egauche;3;Actif_o
Homme;Droite;3;Actif_o
Femme;Droite;3;Actif_o
Femme;Gauche;4;Actif_o
Femme;Droite;7;Retraite
Femme;Centre;6;Actif_o
Homme;Droite;4;Actif_o
Femme;Centre;1;Actif_o
Homme;Droite;1;Actif_o
Homme;Edroite;2;Retraite
Femme;Droite;2;Retraite
Homme;Centre;5;Chomeur
Femme;Egauche;5;Chomeur
Homme;Centre;6;Actif_o
Femme;Centre;4;Actif_o
Femme;Centre;5;Actif_o
Homme;Centre;6;Actif_o
Homme;Egauche;6;Actif_o
Femme;Centre;7;Actif_o
